,ind,timestamp,latitude,longitude,country
0,0,2019-01-01 07:21:13,-88.8298,-170.188,Albania
1,1,2021-09-26 19:49:23,-88.8298,-170.188,Albania
2,2,2022-03-14 04:34:13,17.5632,112.276,Gambia
3,3,2019-11-09 07:45:20,-84.8378,-167.14,Aruba
4,4,2022-07-07 00:18:41,-88.8298,-170.188,Albania
5,5,2018-08-29 13:27:39,-88.8298,-170.188,Albania
6,6,2019-05-27 02:07:21,-88.8298,-170.188,Albania
7,7,2018-10-08 12:32:54,67.4198,-175.252,Gibraltar
8,8,2019-09-20 10:00:31,-88.8298,-170.188,Albania
9,9,2019-10-01 21:45:23,39.8699,20.0648,Guatemala
10,10,2018-10-06 00:24:52,-75.3,-169.77,Aruba
11,11,2018-06-05 22:18:08,85.2574,-16.8416,Lao People's Democratic Republic
12,12,2019-03-28 09:16:33,-89.9796,-72.4059,Belgium
13,13,2017-12-24 19:03:51,-64.984,-117.531,Aruba
14,14,2021-06-24 23:35:31,-88.5252,-172.436,American Samoa
15,15,2022-04-07 20:58:51,-77.6883,-145.539,Andorra
16,16,2019-01-24 21:43:47,-83.8846,-179.612,Barbados
17,17,2021-07-05 18:26:56,-1.51818,107.633,Lithuania
18,18,2021-02-21 22:02:59,-77.6883,-145.539,Andorra
19,19,2018-04-30 01:27:25,-81.0108,-165.206,Antigua and Barbuda
20,20,2017-11-15 03:20:08,-75.3,-169.77,Aruba
21,21,2018-01-21 05:41:24,-40.7338,-128.075,Australia
22,22,2018-12-02 12:12:00,-86.2919,-103.993,Anguilla
23,23,2019-01-10 13:47:26,-87.2,-177.109,Albania
24,24,2019-03-09 00:20:49,-88.8298,-170.188,Albania
25,25,2021-12-02 12:40:33,-81.3019,63.8961,Ecuador
26,26,2019-06-18 03:59:46,-62.9218,-153.003,Antarctica (the territory South of 60 deg S)
27,27,2020-11-15 23:51:27,-88.8298,-170.188,Albania
28,28,2019-06-30 16:39:34,-17.7534,-76.6142,Niue
29,29,2019-10-23 10:53:16,-88.8298,-170.188,Albania
30,30,2022-07-07 18:43:40,61.9983,65.5766,Saint Barthelemy
31,31,2022-04-21 12:12:32,74.8262,9.96191,Gambia
32,32,2019-08-15 01:16:02,-81.0108,-165.206,Antigua and Barbuda
33,33,2018-02-15 21:25:06,-47.1159,-118.396,Japan
34,34,2020-08-15 02:51:36,-86.2919,-103.993,Anguilla
35,35,2019-05-17 09:13:02,-87.4992,-177.336,Bulgaria
36,36,2018-01-20 08:31:50,67.7855,115.043,Lithuania
37,37,2018-05-18 16:58:37,-88.8298,-170.188,Albania
38,38,2022-10-10 08:14:22,-88.5252,-172.436,American Samoa
39,39,2019-04-16 17:06:10,-87.0574,-164.826,Bahamas
40,40,2021-12-12 06:08:41,55.9311,-159.315,Sudan
41,41,2021-10-18 07:17:59,-41.2244,-158.022,American Samoa
42,42,2018-02-09 19:47:21,-84.8378,-167.14,Aruba
43,43,2020-10-01 01:00:02,-88.8298,-170.188,Albania
44,44,2022-05-15 07:52:05,-88.8298,-170.188,Albania
45,45,2019-05-16 00:31:46,-87.2,-177.109,Albania
46,46,2018-09-15 09:16:57,4.21689,-145.82,Afghanistan
47,47,2019-04-21 12:59:15,-87.6082,-99.2329,Costa Rica
48,48,2019-07-23 08:53:36,70.72,-0.474912,Latvia
49,49,2022-07-21 23:16:46,-82.3274,-122.209,Bangladesh
50,50,2019-08-22 19:32:48,-82.3274,-122.209,Bangladesh
51,51,2018-03-23 18:47:01,-31.3771,88.2631,Guinea-Bissau
52,52,2022-05-20 19:53:34,-87.4992,-177.336,Bulgaria
53,53,2018-01-01 17:50:38,-44.7118,-74.3034,Armenia
54,54,2020-04-06 05:17:29,-86.6339,-83.6319,Aruba
55,55,2021-11-03 14:31:15,29.3249,42.6743,Mali
56,56,2022-06-02 20:17:55,50.5093,-83.9743,Bermuda
57,57,2021-05-15 10:19:26,-87.0574,-164.826,Bahamas
58,58,2018-05-16 20:31:54,50.7916,155.579,Maldives
59,59,2019-01-06 03:10:16,-58.95,-91.1193,Chad
60,60,2022-05-27 11:06:08,-31.2898,110.65,Antarctica (the territory South of 60 deg S)
61,61,2020-12-10 11:49:07,-83.8846,-179.612,Barbados
62,62,2020-08-31 21:49:38,-60.4435,-145.379,China
63,63,2021-10-27 10:14:52,-88.8298,-170.188,Albania
64,64,2020-07-06 00:44:07,-84.8378,-167.14,Aruba
65,65,2022-01-16 20:12:33,-88.5252,-172.436,American Samoa
66,66,2019-09-21 14:56:44,-58.4025,-168.097,Albania
67,67,2021-10-16 05:48:09,-87.2,-177.109,Albania
68,68,2017-10-30 09:33:17,-72.3792,-152.708,Finland
69,69,2020-02-19 23:39:09,-19.3846,-170.55,Albania
70,70,2018-10-14 18:47:01,-51.051,-51.6278,Korea
71,71,2021-06-12 01:34:13,-63.2737,-163.515,French Guiana
72,72,2022-06-01 09:21:59,-86.4433,-178.772,American Samoa
73,73,2018-08-26 04:51:12,-86.2919,-103.993,Anguilla
74,74,2020-01-29 14:03:35,-81.0108,-165.206,Antigua and Barbuda
75,75,2018-06-29 22:38:35,-89.3568,-35.853,Congo
76,76,2020-10-19 04:00:18,-81.9484,-125.07,Chile
77,77,2018-05-26 14:31:55,-18.0445,63.1986,Albania
78,78,2020-06-03 13:00:57,-88.8298,-170.188,Albania
79,79,2019-04-01 06:16:20,-88.8298,-170.188,Albania
80,80,2020-03-12 20:22:57,-32.085,155.085,Cameroon
81,81,2019-05-10 12:48:37,-13.8935,169.333,Tajikistan
82,82,2022-05-19 07:17:10,29.9602,-101.96,India
83,83,2019-10-08 22:47:37,-43.7816,-66.1592,Congo
84,84,2018-01-31 23:24:59,-87.4992,-177.336,Bulgaria
85,85,2020-01-02 09:29:27,-88.8298,-170.188,Albania
86,86,2020-09-02 00:49:12,-83.8846,-179.612,Barbados
87,87,2022-05-14 08:55:23,86.9945,-50.5378,Trinidad and Tobago
88,88,2018-05-26 02:45:32,-75.3,-169.77,Aruba
89,89,2018-06-27 22:25:38,-1.17304,72.9403,Equatorial Guinea
90,90,2018-03-31 16:34:51,28.2685,-27.78,Korea
91,91,2021-10-11 12:44:03,-54.5927,-90.6345,Canada
92,92,2022-10-06 09:28:05,-84.8378,-167.14,Aruba
93,93,2019-03-05 05:51:17,-83.8846,-179.612,Barbados
94,94,2022-09-16 10:36:48,-87.2,-177.109,Albania
95,95,2022-04-05 23:06:29,81.3814,126.193,Greenland
96,96,2020-11-23 10:45:42,-88.5252,-172.436,American Samoa
97,97,2018-12-24 22:15:35,-29.1712,-107.111,Montserrat
98,98,2019-02-23 05:53:10,-47.1159,-118.396,Japan
99,99,2022-05-29 05:31:37,-88.8298,-170.188,Albania
100,100,2018-09-14 11:30:13,-84.6446,-173.058,Anguilla
101,101,2020-12-30 22:16:20,-88.8298,-170.188,Albania
102,102,2021-04-27 13:06:03,-88.8298,-170.188,Albania
103,103,2021-05-19 09:04:14,-87.2,-177.109,Albania
104,104,2021-08-14 00:17:26,-88.8298,-170.188,Albania
105,105,2020-03-18 10:13:24,-17.7309,-171.487,Anguilla
106,106,2020-02-17 05:37:36,-79.0156,151.898,Bahamas
107,107,2021-08-04 05:53:18,-88.8298,-170.188,Albania
